gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
CPM,0.949534696,0.978895984,0.920173409,0.985416568,0.887145678,0.988194817,0.911569704,0.963076568,0.961804844
APLNR,0.949062267,0.984598158,0.913526377,0.990616793,0.930296758,0.996628642,0.901335514,0.96654904,0.908946858
RPL9,0.948907656,0.900289995,0.997525318,0.774042305,0.998431043,0.932795418,0.999315956,0.994032261,0.994828955
C1orf168,0.948906525,0.91311966,0.984693391,0.957956419,0.984476008,0.880063654,0.990974423,0.901338907,0.978629741
ST5,0.948877458,0.952563241,0.945191675,0.954836148,0.901841761,0.943161259,0.94189225,0.959692316,0.991841014
CHI3L2,0.948838438,0.941735037,0.955941838,0.883398367,0.968653425,0.968719929,0.942633976,0.973086815,0.956538114
IL7,0.947626318,0.911459995,0.983792642,0.808007655,0.969633344,0.968296473,0.986794834,0.958075856,0.994949749
PACSIN2,0.947281695,0.949735453,0.944827937,0.938791658,0.937831419,0.953675717,0.928771911,0.956738984,0.967880482
AGA,0.9469235,0.929902709,0.96394429,0.866614187,0.972191044,0.956874029,0.975607191,0.966219912,0.944034636
SGK1,0.946359797,0.928866238,0.963853356,0.835414871,0.972014604,0.964263465,0.976794767,0.986920378,0.942750697
ANGPT1,0.946013251,0.961338862,0.93068764,0.966306096,0.902782321,0.985984568,0.922054981,0.931725921,0.967225619
IL13RA1,0.945460746,0.947047686,0.943873805,0.964782606,0.947834201,0.958382589,0.947756839,0.917977864,0.936030375
HAP1,0.945137951,0.916386964,0.973888938,0.834542173,0.986667255,0.951222525,0.982552813,0.963396196,0.952446746
GPR82,0.944083497,0.914269007,0.973897986,0.836501333,0.971507679,0.98440136,0.980485752,0.921904329,0.969700527
MYL3,0.943067723,0.953219236,0.932916211,0.970191166,0.943296304,0.984309068,0.976721476,0.905157473,0.878730855
METTL24,0.942991266,0.926398795,0.959583738,0.901599495,0.956303992,0.924847481,0.966832701,0.952749408,0.95561452
MAEL,0.942617576,0.92174033,0.963494821,0.826459191,0.982516847,0.961147945,0.974340895,0.977613855,0.933626721
LAMA2,0.942554012,0.973000179,0.912107845,0.956513006,0.907728744,0.971382135,0.928433282,0.991105396,0.90016151
ZNF185,0.942353595,0.932984525,0.951722664,0.918501076,0.953725256,0.913167163,0.955272498,0.967285337,0.946170237
GDPGP1,0.942154534,0.927651518,0.956657551,0.878603275,0.96444262,0.928119762,0.96735252,0.976231516,0.938177512
GSTO2,0.941750871,0.927664411,0.955837332,0.989101446,0.936149811,0.871101867,0.945303646,0.922789921,0.986058537
